RK,Pick,YEAR,HEIGHT,PLAYER,TEAM,CONF,POS,Role,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,D-Rtg,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,Dunks,Close 2,Far 2,FT,2P,3PR,3P/100,3P
1,-,Sr,6-7,Darren Fells,UC Irvine,BW,null,69.5,4.4,3.0,5.9,5.0,0.9,119.7,99.5,24.6,57.1,61.9,12.2,19.8,15.8,14.8,1.1,1.8,3.1,55.3,3.6,0-0,0.000,0.000,0.000,0.743,0.553,0.9,8-13,0.615
2,-,Sr,5-11,Josh Akognon,Cal St. Fullerton,BW,null,83.0,4.3,2.4,4.1,5.9,-1.7,113.5,106.1,27.6,53.0,57.8,1.9,9.5,10.0,12.9,0.7,0.2,2.0,24.8,2.5,0-0,0.000,0.000,0.000,0.893,0.480,17.1,239-637,0.375
3,-,Sr,6-6,Aniwaniwa Tait-Jones,UC San Diego,BW,Wing G,71.0,4.3,3.1,6.4,5.1,1.4,120.3,101.5,27.3,58.7,62.9,5.4,16.5,21.9,15.9,1.5,1.5,2.2,70.5,2.9,15-17,0.882,0.667,0.296,0.757,0.597,2.2,23-67,0.343
4,-,Sr,6-3,Corey Hawkins,UC Davis,BW,Combo G,62.2,4.2,2.3,5.4,5.5,-0.1,112.4,106.2,28.9,54.0,59.2,3.1,15.4,22.4,15.3,1.3,0.8,2.6,46.1,2.6,2-2,1.000,0.603,0.435,0.800,0.504,8.6,172-428,0.402
5,38,Jr,6-5,Ajay Mitchell,UC Santa Barbara,BW,Scoring PG,74.7,4.0,2.7,3.5,3.3,0.2,114.7,105.9,25.7,53.8,58.6,1.0,9.8,27.0,15.8,2.0,0.9,2.0,47.8,3.0,4-4,1.000,0.622,0.473,0.822,0.552,4.1,63-194,0.325
6,-,Jr,6-4,Jemel Jones,Cal St. Bakersfield,BW,Combo G,62.6,3.8,1.6,4.6,6.1,-1.5,113.2,114.6,33.8,51.4,55.3,4.0,12.5,21.6,13.9,1.0,1.3,1.8,27.6,3.4,1-1,1.000,0.550,0.492,0.850,0.506,6.7,32-88,0.364
7,36,Sr,6-5,Orlando Johnson,UC Santa Barbara,BW,Wing G,77.6,3.8,2.7,5.3,5.9,-0.6,107.0,102.4,29.8,52.3,56.5,6.7,14.1,21.1,16.9,1.0,1.9,1.8,44.2,2.9,31-33,0.939,0.664,0.385,0.726,0.489,8.8,215-552,0.389
8,-,So,6-7,Lamine Diane,Cal St. Northridge,BW,PF/C,68.4,3.8,2.8,1.8,2.9,-1.1,99.9,105.4,36.7,49.3,51.3,8.6,24.7,15.7,13.2,0.8,6.1,2.5,40.4,3.8,100-106,0.943,0.701,0.336,0.578,0.497,2.3,22-75,0.293
9,-,Sr,6-6,Alex Harris,UC Santa Barbara,BW,null,78.3,3.8,3.2,4.1,4.7,-0.6,108.0,98.4,30.4,51.5,58.2,3.9,10.4,12.7,15.6,0.7,0.6,2.1,51.5,2.7,0-0,0.000,0.000,0.000,0.812,0.434,10.3,74-175,0.423
10,-,Sr,6-7,Alan Williams,UC Santa Barbara,BW,PF/C,60.3,3.6,3.5,5.2,4.1,1.0,108.1,92.6,31.4,48.8,53.3,15.9,27.3,9.8,13.1,0.6,8.1,2.2,49.8,4.2,12-13,0.923,0.615,0.417,0.701,0.489,0.1,0-3,0.000
11,-,Sr,6-4,Donovan Morris,Long Beach St.,BW,null,75.6,3.5,2.0,2.2,4.3,-2.1,106.1,109.1,27.8,51.5,57.9,2.5,13.2,16.8,17.9,0.8,0.7,1.6,43.7,1.3,0-0,0.000,0.000,0.000,0.843,0.502,10.1,112-316,0.354
12,-,Sr,6-8,Mark Payne,UC Davis,BW,Wing F,74.3,3.3,2.2,3.1,3.4,-0.3,116.0,107.9,20.0,57.2,64.0,5.0,13.5,25.8,21.3,1.8,1.2,2.6,64.3,1.8,22-24,0.917,0.672,0.421,0.816,0.596,2.4,44-142,0.310
13,-,Sr,6-5,Stephan Hicks,Cal St. Northridge,BW,Wing G,77.3,3.3,2.2,2.5,3.7,-1.2,113.2,108.3,23.1,50.7,58.0,7.5,15.4,8.1,14.2,0.6,1.0,2.2,55.9,2.9,75-90,0.833,0.649,0.381,0.814,0.511,2.6,54-168,0.321
14,-,Sr,6-4,Frank Robinson,Cal St. Fullerton,BW,null,74.4,3.2,2.8,3.5,3.6,-0.2,110.9,100.0,25.1,52.0,55.5,7.6,17.9,14.5,16.6,1.1,1.5,2.1,37.2,3.6,0-0,0.000,0.000,0.000,0.743,0.527,8.5,51-150,0.340
15,-,Jr,6-8,Kyle Austin,UC Riverside,BW,Wing F,46.4,3.2,2.6,1.9,3.6,-1.7,102.7,102.9,29.4,47.7,51.4,9.5,15.5,12.6,13.8,0.7,0.8,1.1,42.5,2.8,8-8,1.000,0.625,0.397,0.664,0.465,5.1,46-131,0.351
16,-,Sr,6-8,Christian Standhardinger,Hawaii,BW,Wing F,43.4,3.1,2.8,3.4,3.3,0.0,109.7,99.0,27.3,49.9,55.9,11.1,19.5,9.8,16.2,0.6,1.9,2.5,59.4,3.5,2-2,1.000,0.703,0.429,0.735,0.507,2.9,31-104,0.298
17,-,So,6-8,Marcus Adams Jr.,Cal St. Northridge,BW,Wing F,68.5,3.1,2.8,4.8,4.6,0.1,119.7,104.7,21.7,60.4,61.7,6.0,12.6,9.6,14.3,0.9,1.7,1.9,16.3,3.1,10-13,0.769,0.658,0.550,0.759,0.614,9.3,53-135,0.393
18,-,Sr,6-5,Owen Koonce,Cal Poly,BW,Wing G,73.2,3.1,2.2,1.9,2.8,-0.9,112.8,111.5,23.9,60.4,63.3,5.0,13.0,11.2,20.7,0.6,1.7,2.0,27.0,3.6,16-18,0.889,0.688,0.493,0.903,0.615,8.6,57-145,0.393
19,50,Sr,6-7,James Ennis,Long Beach St.,BW,Wing F,77.8,3.1,3.2,6.6,4.3,2.4,111.4,96.5,21.3,57.0,61.1,5.8,13.6,15.7,21.9,1.0,3.4,3.1,37.6,3.2,47-50,0.940,0.735,0.384,0.798,0.605,7.9,94-266,0.353
20,-,Sr,5-9,TJ Shorts II,UC Davis,BW,Scoring PG,73.2,3.1,3.4,4.1,1.9,2.1,106.5,99.6,27.2,51.7,56.1,1.9,14.3,31.1,18.6,1.6,0.8,3.3,56.4,2.8,2-2,1.000,0.589,0.397,0.743,0.525,2.2,22-72,0.306
