"Rk","Pick","Year","Height","Name","Del","TeamName","Team","Conf","G","Role","Min%","PRPG!","D-PRPG","BPM","OBPM","DBPM","ORtg","D-Rtg","Usg","eFG","TS","OR","DR","Ast","TO","A/TO","Blk","Stl","FTR","FC/40","Dunks","","Close 2","","Far 2","","FT","","2P","","3PR","3P/100","3P","3pp"
"1","-","Sr","6-6","Aniwaniwa Tait-Jones","0","UC San Diego","BW","27","Wing G","77.4","5.4","3.7","9.4","7.1","2.3","125.9","97.3","30.3","59.8","65.8","5.3","15.7","24.2","13.6","1.6","1.8","2.2","79.5","2.8","5-7",".714","149-218",".683","12-45",".267","186-240",".775","161-263",".612","12.9","2.8","13-39",".333"
"2","-","So","6-0","Barrington Hargress","0","UC Riverside","BW","28","Scoring PG","79.6","4.1","2.3","4.4","5.1","-0.7","110.6","111.2","32.0","49.0","52.1","1.3","7.2","28.6","11.0","1.9","0.1","2.0","25.7","2.4","2-2","1.000","78-128",".609","71-170",".418","93-126",".738","149-298",".500","39.3","12.6","61-193",".316"
"3","-","Jr","6-4","Jemel Jones","0","Cal St. Bakersfield","BW","28","Combo G","66.7","4.0","1.7","5.3","6.7","-1.4","114.5","114.1","34.0","51.7","56.2","4.2","12.8","22.2","13.3","1.1","1.4","1.8","28.7","3.5","1-1","1.000","41-76",".539","127-257",".494","102-120",".850","168-333",".505","20.3","6.7","32-85",".376"
"4","-","Sr","7-0","Bent Leuchten","0","UC Irvine","BW","28","PF/C","64.7","4.0","3.9","10.6","6.8","3.9","127.0","88.3","25.7","57.7","66.0","11.2","25.0","13.8","12.7","1.1","5.7","1.2","79.9","2.5","4-4","1.000","95-152",".625","19-54",".352","159-191",".832","114-206",".553","13.8","2.6","16-33",".485"
"5","-","Sr","6-5","Tyler McGhie","0","UC San Diego","BW","27","Wing G","78.0","3.2","3.6","4.2","4.3","-0.0","116.4","99.3","22.9","55.1","57.2","1.0","14.0","10.4","6.1","2.4","1.0","1.8","13.7","1.9","0-0",".000","18-34",".529","54-104",".519","43-50",".860","72-138",".522","62.2","16.0","86-227",".379"
"6","-","Sr","6-5","Owen Koonce","0","Cal Poly","BW","28","Wing G","76.1","3.1","2.1","1.7","2.8","-1.0","112.2","112.1","24.0","60.1","64.0","5.0","13.2","10.9","20.4","0.6","1.7","2.0","27.0","3.7","16-18",".889","83-122",".680","37-75",".493","82-91",".901","120-197",".609","41.5","8.6","55-140",".393"
"7","-","So","6-8","Marcus Adams Jr.","79","Cal St. Northridge","BW","26","Wing F","73.3","3.0","2.8","4.9","4.6","0.2","119.0","104.6","21.5","60.8","61.9","5.9","12.8","9.8","14.6","0.9","1.7","1.9","15.1","3.1","10-13",".769","71-109",".651","43-77",".558","35-48",".729","114-186",".613","41.5","9.5","53-132",".402"
"8","-","Jr","6-10","Kenny Pohto","59.8","UC Santa Barbara","BW","27","C","66.7","2.9","2.4","2.1","2.6","-0.5","117.2","106.2","24.3","62.2","63.8","12.7","15.4","13.7","18.7","0.9","1.7","1.2","46.5","2.9","7-8",".875","116-162",".716","19-54",".352","68-101",".673","135-216",".625","0.5","0.1","0-1",".000"
"9","-","Sr","6-2","Stephan Swenson","0","UC Santa Barbara","BW","27","Scoring PG","75.2","2.8","3.1","4.8","3.2","1.6","113.5","102.9","24.1","57.6","59.7","2.2","12.0","29.6","19.9","1.9","0.6","3.5","19.7","3.1","0-0",".000","36-67",".537","14-46",".304","41-53",".774","50-113",".442","58.0","11.7","70-156",".449"
"10","-","Sr","6-5","Cole Anderson","0","UC Santa Barbara","BW","27","Combo G","71.1","2.8","2.2","2.6","2.8","-0.2","135.4","110.1","12.0","72.2","73.2","0.8","7.4","7.1","11.8","1.5","0.3","1.3","8.3","2.0","0-0",".000","9-13",".692","8-23",".348","13-14",".929","17-36",".472","78.7","10.5","70-133",".526"
"11","-","Jr","6-3","TJ Wainwright","0","Long Beach St.","BW","26","Combo G","72.0","2.7","1.5","0.1","2.0","-1.9","115.5","117.6","20.4","56.0","60.2","1.4","8.2","13.6","13.6","1.3","0.0","1.9","29.8","2.6","0-0",".000","41-65",".631","23-64",".359","63-74",".851","64-129",".496","48.0","9.2","50-119",".420"
"12","-","Sr","6-5","Devin Askew","94","Long Beach St.","BW","27","Scoring PG","91.3","2.7","2.4","-0.5","1.3","-1.8","98.8","112.9","31.2","44.2","51.4","0.8","15.0","31.7","19.8","1.3","0.3","2.5","35.3","2.3","0-0",".000","39-96",".406","70-176",".398","131-147",".891","109-272",".401","34.6","8.7","50-144",".347"
"13","-","Sr","6-6","Devin Tillis","0","UC Irvine","BW","27","Wing F","69.4","2.6","4.0","5.2","2.8","2.4","116.2","92.5","20.4","58.5","61.7","6.7","21.0","15.1","15.7","1.2","0.8","1.2","24.9","2.5","0-0",".000","86-123",".699","17-45",".378","53-63",".841","103-168",".613","33.6","6.2","30-85",".353"
"14","-","Sr","6-8","Gytis Nemeiksa","0","Hawaii","BW","26","Stretch 4","56.9","2.6","2.2","4.4","3.7","0.7","116.3","104.1","24.7","53.1","58.5","8.0","21.6","10.4","12.6","0.9","2.3","1.4","50.0","3.7","2-2","1.000","54-86",".628","23-44",".523","81-105",".771","77-130",".592","38.1","8.1","23-80",".287"
"15","-","Sr","6-4","Hayden Gray","0","UC San Diego","BW","27","Scoring PG","81.5","2.5","4.7","7.7","1.9","5.8","116.0","90.7","18.1","57.9","59.0","2.2","9.7","19.3","15.3","2.4","0.9","6.3","18.0","2.1","6-6","1.000","65-110",".591","6-19",".316","29-43",".674","71-129",".550","46.0","7.4","45-110",".409"
